code,title,credit,description
ARTH-385,Baroque Art,3,"Architecture, sculpture, and painting in southern Europe, Belgium, England, Germany, and the Netherlands ca. 1600-1750. Prerequisite: Art History 208 or 209 or permission of the instructor."
ARTH-386,18th and 19th Century Art,3,"Study of the major movements of the 18th and 19th centuries, including Neoclassicism, Romanticism, Realism, Impressionism, and Postimpressionism to 1900. Prerequisite: Art History 208 or 209 or permission of the instructor."
ARTH-389,Twentieth Century Art,3,Western painting and sculpture from 1900 to the present. Prerequisite: Art History 208 or 209 or permission of instructor.
ARTH-391,Topics in Asian Art,3,"Thematic introduction to the visual arts of China and Japan, with emphasis on Chinese art from the Han period through the 20th century. Prerequisite: Art History 208 or 209 or permission of instructor."
ARTH-492,Topical Seminars - Art History,3,Special topics in art history not included in regular course offerings. Consists of lectures and discussion with an emphasis on research. May be repeated for a maximum of nine credit hours. Prerequisite: Art History 208 or 209 or permission of instructor.
ARTH-493,Indep Study in Art History,1 to 3,Research in areas of art history on topics not covered in existing courses. Subject and credit earned must be approved by the supervising faculty member and department chair. May be repeated for a maximum of six credit hours. Prerequisites: Junior standing; permission of instructor.
ARTH-495,Internship in Art History,3 to 12,"Internships designed to meet the educational needs of students' professional goals are recommended for art history majors and may be arranged with a professional individual or institution. A maximum of 12 credit hours earned in Art History 495 may count toward the degree. Prerequisites: Junior standing; permission of faculty advisor, faculty/museum liaison, and department chair."
ARTH-H378,British Romantic Art,3,"A study of British art from 1790 to 1850, including academic traditions, landscape painting, genre painting, and the pre-Raphaelites. Taught at Harlaxton College. Prerequisite: Art History 208 or 209 or permission of instructor."
ARTH-H379,Art/Arch in Victorian Britain,3,"A study of art and architecture produced in Britain during the reign of Victoria, including revival and industrial architecture, the arts and crafts movement, and the ""New Sculpture."" Taught at Harlaxton College. Prerequisite: Art History 208 or 209 or permission of instructor."
ARTH-H383,Medieval Art,3,"Architecture, sculpture and painting from early Christianity through Gothic in the Byzantine Empire and Western Europe. Taught at Harlaxton College. Prerequisite: Art History 208 or 209 or permission of instructor."
ARTH-H387,English Art/Arch to 1533,3,"A study of British art from the late Roman occupation. Migration art, manuscript painting, and domestic and ecclesiastical architecture through the reigns of Henry VII and early Henry VIII. Taught at Harlaxton College. Prerequisite: Art History 208 or 209 or permission of instructor."
ARTH-H388,English Art/Arch 1500-1850,3,"Survey of the visual arts in England from Elizabethan times to the mid-19th century. This is a period when the English became a consumer culture. In addition to such artists as Holbein, Van Dyck, Reynolds, Constable, and Turner, the patrons, promoters, collectors, and travelers will be considered. Prerequisites: Art History 208, 209; or permission of instructor."
ASTR-101,Descriptive Astronomy,3,"Studies the solar system, stellar structure and evolution, galaxies and cosmology, emphasizing the historical development and observational basis for our understanding of the universe. Lecture."
ASTR-102,Lab for Intro to Astronomy,1,"Optional laboratory course to accompany ASTR 101. Students will use Koch Immersive Theater at the Evansville Museum and classroom and outdoor settings to explore topics related to astronomy, including celestial mechanics, planetary phenomena such as cratering, and optics. Corequisite: ASTR 101. Two hours in class, one outside class required each week."
ASTR-320,Astrophysics,3,"A detailed study of the physical processes that drive a variety of astrophysical phenomena. Topics include radiation production and interaction with matter, accreting systems, and observational techniques from radio to gamma-rays. Specific applications may include (depending on student interest) stellar structure and evolution, compact objects, galactic composition and dynamics, and the origin and structure of the universe. Lecture. Prerequisites: Mathematics 323; Physics 213. Recommended: Astronomy 101. Same as Physics 320."
ASTR-422,Cosmology,2,"Explores the history and evolution of the universe with an emphasis on theoretical models that may be tested by modern experimental and observational techniques. Topics include the Big Bang, cosmic microwave background radiation, dark energy, dark matter, origins of structure in the universe, general relativity, and specific topics of interest to researchers in the field. Lecture. Prerequisite: Physics 305. Recommended: Astronomy 101, 320. Same as Physics 422."
AT-180,Intro to Athletic Training,3,"Introduces the field of athletic training and the care and prevention of athletic injuries. Topics include, but are not limited to, the organization, administration, education, and counseling techniques used in caring for athletes, as well as the foundation of injury prevention, assessment, treatment, and rehabilitation."
AT-281,Ath Injury Prevntion/Wellness,3,"This course is designed as a follow up to the introduction to the field of athletic training (AT 180). Topics include, but are note limited to the foundation of injury prevention through taping and bracing, physical base line assessment of and the proper procedures to provide emergency care to an injured patient."
AT-282,Basic Skills in Ath Training,3,"Addresses various topics that develop the student's competence as an athletic trainer. Emphasis placed on skills such as construction and application of protective devices, taping and bandaging techniques, on-field assessment techniques, and emergency care. Designed to satisfy CAATE competences related to the above-mentioned content areas and intended for athletic training majors. Prerequisite: AT 180. Corequisite: AT 282L."
AT-282L,Basic Skills Ath Training Lab,0,"Addresses various topics that develop the student?s competence as an athletic trainer. Emphasis placed on skills such as construction and application of protective devices, taping and bandaging techniques, on-field assessment techniques, and emergency care. Designed to satisfy CAATE competences related to the above-mentioned content areas and intended for athletic training majors. Prerequisite: Athletic Training 280.

"
